observableId	simulationConditionId	time	measurement	observableParameters	noiseParameters
pSTAT3_obs	TH17	15	6.3406359	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	15	6.3406359	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	15	6.3406359	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TH17	15	66.908029	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TH17	15	66.908029	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TH17	15	66.908029	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TH17	15	0.030156946	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	15	0.030156946	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	15	0.030156946	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	15	0.15174037	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	15	0.15174037	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	15	0.15174037	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TH17	15	0.039541835	scale_PKA_active	sigma_const
PKA_active	TH17	15	0.039541835	scale_PKA_active	sigma_const
PKA_active	TH17	15	0.039541835	scale_PKA_active	sigma_const
Free_IL6_obs	TH17	30	0.022509087	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	30	0.022509087	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	30	0.022509087	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TH17	30	0.012349442	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	30	0.012349442	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	30	0.012349442	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TH17	30	99.645337	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	30	99.645337	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	30	99.645337	scale_IL6R_Active	sigma_const
TGFbR_Active	TH17	30	0.96356152	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	30	0.96356152	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	30	0.96356152	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TH17	30	0.091753733	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	30	0.091753733	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	30	0.091753733	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TH17	30	6.1303618	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	30	6.1303618	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	30	6.1303618	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TH17	30	83.719823	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TH17	30	83.719823	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TH17	30	83.719823	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TH17	30	0.048620499	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	30	0.048620499	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	30	0.048620499	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	30	0.34491732	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	30	0.34491732	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	30	0.34491732	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TH17	30	0.10217087	scale_PKA_active	sigma_const
PKA_active	TH17	30	0.10217087	scale_PKA_active	sigma_const
PKA_active	TH17	30	0.10217087	scale_PKA_active	sigma_const
Free_IL6_obs	TH17	45	0.022509087	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	45	0.022509087	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	45	0.022509087	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TH17	45	0.012349442	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	45	0.012349442	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	45	0.012349442	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TH17	45	99.645337	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	45	99.645337	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	45	99.645337	scale_IL6R_Active	sigma_const
TGFbR_Active	TH17	45	0.96356152	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	45	0.96356152	scale_TGFbR_Active	sigma_const
